set,material_id,cif_path,reduced_formula,spacegroup_symbol,spacegroup_number,crystal_system,quality_score,min_eig,B_H,G_H,E_H,nu_H,A_U,density,volume_per_atom,min_distance,relerr_bulk_scalar_vs_BH,relerr_shear_scalar_vs_GH,relerr_young_scalar_vs_EH,targets_scalars,targets_voigt21
3el,gen_00018,generated_cifs_3el_densityaware/gen_00018.cif,Sr3Bi4B3,P1,1,triclinic,9,114.60943768039931,196.87717329599047,135.46187112545402,330.5692565994561,0.22015609947285142,0.5145654188335014,5.93973211395005,31.624760218075153,2.2194933553582663,0.006044038671823782,0.03187671623024978,0.021285183779215903,"[1.5005457401275635, 2.2854034900665283, 2.225855588912964, 1.6572771072387695, 1.5182316303253174, 1.7821468114852905, 1.737178921699524, 1.7618200778961182]","[3.8813540935516357, 1.1196554899215698, 1.124459147453308, -0.09734330326318741, -0.5033314228057861, -0.9973526000976562, 3.8842437267303467, 1.1257457733154297, -0.586972713470459, -0.5018870234489441, -0.6620160341262817, 3.8790433406829834, -0.2533382177352905, -0.47917440533638, -0.9371012449264526, 1.5850155353546143, -0.7657837271690369, -0.7153337001800537, 1.58360755443573, 0.03421106934547424, 1.5851330757141113]"
3el,gen_00092,generated_cifs_3el_densityaware/gen_00092.cif,Sr3Bi3B4,P1,1,triclinic,9,114.4446706735657,196.55825395577108,134.85365224627873,329.2616013102064,0.2208108413292616,0.5321474667813177,5.364250251287705,28.883029968565445,2.15428490086191,0.009653462332920743,0.03506013620185489,0.02440790825542239,"[1.5063179731369019, 2.2803945541381836, 2.2226459980010986, 1.6576869487762451, 1.5224453210830688, 1.7843719720840454, 1.7396762371063232, 1.7624849081039429]","[3.851487636566162, 1.1281973123550415, 1.1329219341278076, -0.08943583071231842, -0.5021512508392334, -0.9897623062133789, 3.8543245792388916, 1.134192943572998, -0.578639030456543, -0.4998474717140198, -0.6621601581573486, 3.84924054145813, -0.25344085693359375, -0.4774564504623413, -0.9301201701164246, 1.5888112783432007, -0.7610278725624084, -0.7127063870429993, 1.5875569581985474, 0.0419626384973526, 1.5888984203338623]"
3el,gen_00037,generated_cifs_3el_densityaware/gen_00037.cif,Sr3Bi3B4,P1,1,triclinic,9,114.12418234647419,195.98983830554667,134.55151543613817,328.4839579976972,0.2206624241018105,0.5304201897646212,6.020002603438556,25.736832850924344,2.062575287715361,0.013099869281395584,0.03771788693870163,0.02714813679972106,"[1.5078264474868774, 2.2815279960632324, 2.223726987838745, 1.6595938205718994, 1.5238043069839478, 1.7836709022521973, 1.739356517791748, 1.763342261314392]","[3.8403120040893555, 1.1217906475067139, 1.1265549659729004, -0.08773207664489746, -0.5012564063072205, -0.9828550219535828, 3.8431646823883057, 1.1278045177459717, -0.5779372453689575, -0.49963799118995667, -0.6552729606628418, 3.8381052017211914, -0.24931000173091888, -0.47722893953323364, -0.9247109889984131, 1.5833133459091187, -0.7546795606613159, -0.7078035473823547, 1.5821946859359741, 0.04153132438659668, 1.5832899808883667]"
3el,gen_00100,generated_cifs_3el_densityaware/gen_00100.cif,Sr2BiB2,P1,1,triclinic,9,113.77562895957428,196.94866655727765,134.71233687893755,329.1020501387142,0.22149929903773258,0.5013511231894228,3.4190614403665087,39.42117875202717,2.3807857050211525,0.0060206960123676346,0.03402840481930171,0.02314242880729508,"[1.501545786857605, 2.2731895446777344, 2.2165889739990234, 1.6601711511611938, 1.5262619256973267, 1.7834179401397705, 1.7392762899398804, 1.7637537717819214]","[3.883171319961548, 1.1201521158218384, 1.1250181198120117, -0.10804753005504608, -0.5041415095329285, -1.005058765411377, 3.8861539363861084, 1.1262922286987305, -0.5905441045761108, -0.5041499137878418, -0.6620122194290161, 3.8808412551879883, -0.2596553564071655, -0.48101985454559326, -0.9363821744918823, 1.5644402503967285, -0.7587243318557739, -0.7105891108512878, 1.5630273818969727, 0.024373859167099, 1.5643805265426636]"
2el,gen_00235,generated_cifs_2el_densityaware/gen_00235.cif,BiB,P1,1,triclinic,9,113.48957139928584,319.3659781781459,176.23067254909216,446.5537825190364,0.26695817493019264,0.9394638756573279,7.54307979667813,24.192519272655186,2.8129171073723622,0.05814072697541406,0.08087193883587115,0.06490685430603256,"[3.5780386924743652, 3.566054344177246, 3.6665120124816895, 0.5571969747543335, 0.5142636299133301, 0.4196014702320099, 0.3833099603652954, 0.5086813569068909]","[6.583126544952393, 2.37856125831604, 2.3821935653686523, -0.08909173309803009, -0.4947493076324463, -1.9037829637527466, 6.587007999420166, 2.395171880722046, -0.6573759317398071, -0.5311729907989502, -0.6799547076225281, 6.585821628570557, 0.3522101640701294, -0.4933745265007019, -1.7234718799591064, 2.1311533451080322, -1.0692495107650757, -1.0094586610794067, 2.1266589164733887, 0.3129446506500244, 2.1288907527923584]"
3el,gen_00139,generated_cifs_3el_densityaware/gen_00139.cif,Mn3Bi3B2,Pm,6,monoclinic,9,113.32525536879908,181.03946455459226,139.86603564667718,333.67005168143066,0.1928201515782279,0.1853102750670299,6.493143214347233,26.00136786520335,2.874824072791575,0.044881112659991555,0.030416214166667142,0.03459626892100964,"[1.126941204071045, 2.1801254749298096, 2.064181327819824, 2.2776966094970703, 2.0436697006225586, 2.0198028087615967, 1.9708439111709595, 2.187795639038086]","[4.145108222961426, 0.7770171165466309, 0.5776422619819641, -0.34424203634262085, -0.45578086376190186, -0.7247084379196167, 4.148131847381592, 0.5769597887992859, -0.7575414180755615, -0.4959670305252075, -0.4970352351665497, 4.099088191986084, -0.33276623487472534, -0.46621084213256836, -0.7751449942588806, 1.192655324935913, -0.7085930109024048, -0.6195035576820374, 1.1918226480484009, -0.2485615760087967, 1.6816585063934326]"
3el,gen_00004,generated_cifs_3el_densityaware/gen_00004.cif,Mn2(BiB)3,Pm,6,monoclinic,9,112.44594900030089,182.56683261381104,140.99180889823384,336.3822268787911,0.19291407602830193,0.19298579267504135,8.795930252266567,18.152857680884328,2.566061338841881,0.051733569106032704,0.03828107529912024,0.04197246978967243,"[1.1300275325775146, 2.179687261581421, 2.0656135082244873, 2.2777576446533203, 2.0468807220458984, 2.0234107971191406, 1.973518967628479, 2.1891958713531494]","[4.204979419708252, 0.7856245636940002, 0.5743626952171326, -0.349710077047348, -0.4547610282897949, -0.7311030626296997, 4.2079668045043945, 0.5736260414123535, -0.7630813121795654, -0.4945543110370636, -0.5008679628372192, 4.156253337860107, -0.3319235146045685, -0.46534374356269836, -0.7869774103164673, 1.1908814907073975, -0.7196425795555115, -0.6186509728431702, 1.1898514032363892, -0.2461724430322647, 1.7067738771438599]"
2el,gen_00202,generated_cifs_2el_densityaware/gen_00202.cif,Sr2Bi,P1,1,triclinic,9,112.27040008680387,159.17458157483037,144.4871067194629,332.77244651720656,0.15156450313355543,0.22656744860347988,8.85470439802285,24.01785373428278,2.1042219359669403,0.01506436969753737,0.02579458089106088,0.024401729406722073,"[0.8872454762458801, 2.3101606369018555, 2.0905635356903076, 2.8539631366729736, 2.4592201709747314, 2.990720748901367, 2.939197540283203, 3.00378155708313]","[4.068158149719238, 0.44142138957977295, 0.1710064858198166, -0.2677972912788391, -0.4254830777645111, -0.5504031181335449, 4.071165084838867, 0.16567851603031158, -0.8333108425140381, -0.48584094643592834, -0.4091998338699341, 4.010708332061768, -0.2545883357524872, -0.4459601044654846, -0.6013566851615906, 1.144774079322815, -0.6063299179077148, -0.4514937400817871, 1.1465785503387451, -0.2497948557138443, 1.8108460903167725]"
2el,gen_00198,generated_cifs_2el_densityaware/gen_00198.cif,Sn9B11,P1,1,triclinic,9,111.92253637794686,235.5701322511871,150.7175474774568,372.6738502943604,0.23633198831775756,0.2386396217314788,10.16262083696657,9.700137071368724,1.8582208373966072,0.011712079411441008,0.019541652608896162,0.02367553723196459,"[2.0166103839874268, 2.4872734546661377, 2.49997615814209, 3.0173685550689697, 3.1107890605926514, 3.7132105827331543, 3.690092086791992, 3.4190900325775146]","[5.374415874481201, 1.1883851289749146, 1.1352518796920776, -0.5115139484405518, -0.49693530797958374, -1.2708433866500854, 5.379018783569336, 1.1335738897323608, -0.6986035108566284, -0.528610110282898, -0.7905551791191101, 5.359382629394531, -0.5862125158309937, -0.5050346255302429, -0.9276524782180786, 1.2998512983322144, -0.5832234025001526, -0.4293021559715271, 1.300865650177002, -0.15643516182899475, 1.4574923515319824]"
2el,gen_00230,generated_cifs_2el_densityaware/gen_00230.cif,BiB,P1,1,triclinic,9,111.8569875188267,162.04928458844796,121.36079386841936,291.35036859240614,0.20034798432635212,0.22448336912703493,5.205723164869127,35.05489968959948,2.424633846609815,0.049403507398832286,0.03194433852853381,0.039799098999118016,"[0.8466477990150452, 1.7222530841827393, 1.6216273307800293, 1.9992384910583496, 1.7924280166625977, 2.095118284225464, 2.048898220062256, 2.0998969078063965]","[3.370140314102173, 0.686486005783081, 0.6684147119522095, -0.30179646611213684, -0.5034804344177246, -0.8589747548103333, 3.372889280319214, 0.6663584113121033, -0.6591169834136963, -0.5224007368087769, -0.6398279070854187, 3.3629913330078125, -0.44182145595550537, -0.4963541626930237, -0.7630688548088074, 1.2038674354553223, -0.6939002871513367, -0.6666340231895447, 1.2034611701965332, -0.2429826557636261, 1.2674177885055542]"
2el,gen_00276,generated_cifs_2el_densityaware/gen_00276.cif,Bi5B7,P1,1,triclinic,9,111.0518085561678,159.58281403742092,119.26637450324178,286.44068375909364,0.20084426541911804,0.24430313935687664,11.104602865479015,13.963918324774754,1.7771560206650192,0.03913475167790231,0.023883528649123777,0.031646639991006614,"[0.836162805557251, 1.6953247785568237, 1.5967786312103271, 1.999399185180664, 1.7964820861816406, 2.0951666831970215, 2.0488340854644775, 2.0993845462799072]","[3.2698140144348145, 0.6882778406143188, 0.6677870750427246, -0.2872828245162964, -0.5019375085830688, -0.8345726132392883, 3.2724902629852295, 0.6656831502914429, -0.6445654630661011, -0.5203136205673218, -0.6360079050064087, 3.262470245361328, -0.440202534198761, -0.49450939893722534, -0.7410725355148315, 1.1948975324630737, -0.68329256772995, -0.660956621170044, 1.1949067115783691, -0.23401996493339539, 1.2643040418624878]"
2el,gen_00061,generated_cifs_2el_densityaware/gen_00061.cif,Bi5B3,P1,1,triclinic,9,111.00637736457132,322.62489464624855,177.8559868828583,450.7402432565155,0.2671494818821804,0.9523701943207401,8.892462096342934,25.1470970361325,2.8392658809346196,0.039840686188186814,0.06804043516762388,0.054167204459087896,"[3.5415639877319336, 3.552783727645874, 3.662515878677368, 0.5296459197998047, 0.49751269817352295, 0.38401517271995544, 0.3508220911026001, 0.4802466630935669]","[6.83155632019043, 2.3998847007751465, 2.3154544830322266, -0.14086174964904785, -0.4919964671134949, -1.969660758972168, 6.836105823516846, 2.328005075454712, -0.7478940486907959, -0.5231420993804932, -0.7136712074279785, 6.8118791580200195, 0.37417131662368774, -0.4969140291213989, -1.7652614116668701, 2.009493827819824, -1.1046918630599976, -0.9738756418228149, 2.0028624534606934, 0.29975271224975586, 2.214144468307495]"
2el,gen_00168,generated_cifs_2el_densityaware/gen_00168.cif,Sn2B3,P1,1,triclinic,9,109.0912117246781,224.63207966103522,150.4309267287149,368.93665512655485,0.2262659785108224,0.23468905156462583,3.8687884935355803,23.164949446784618,2.4975089438372104,0.054406088305383314,0.0034807144787036195,0.007678772880348104,"[2.0766522884368896, 2.56765079498291, 2.5826876163482666, 3.0367343425750732, 3.09369158744812, 3.7535035610198975, 3.7142279148101807, 3.4411087036132812]","[5.083327770233154, 1.0340957641601562, 1.044878602027893, -0.37931743264198303, -0.4674103856086731, -1.0866273641586304, 5.088083744049072, 1.0439172983169556, -0.5831670761108398, -0.5018719434738159, -0.6454716920852661, 5.08095121383667, -0.4827691316604614, -0.46972405910491943, -0.7872443795204163, 1.4084446430206299, -0.4479287266731262, -0.35524410009384155, 1.4114097356796265, -0.05312752723693848, 1.4092891216278076]"
2el,gen_00072,generated_cifs_2el_densityaware/gen_00072.cif,Sr7Bi5,P1,1,triclinic,9,108.79195897839892,151.4203221651707,117.0545322619062,279.2151013246944,0.1926710394261303,0.24242299760851704,9.422749784777409,24.35219450812968,2.1773190997486718,0.0034426173105917214,0.007894710181271287,0.0018283739117606547,"[0.8154278993606567, 1.7347466945648193, 1.6213215589523315, 2.0205581188201904, 1.7835304737091064, 2.0812487602233887, 2.0328152179718018, 2.1035726070404053]","[3.1118688583374023, 0.5891836881637573, 0.5869291424751282, -0.24808049201965332, -0.4955306649208069, -0.7466457486152649, 3.1146798133850098, 0.5849717855453491, -0.6192033886909485, -0.5145300626754761, -0.5635938048362732, 3.1086597442626953, -0.38962846994400024, -0.48758000135421753, -0.6761489510536194, 1.1856820583343506, -0.628251850605011, -0.6247417330741882, 1.1867423057556152, -0.21886378526687622, 1.208801031112671]"
2el,gen_00185,generated_cifs_2el_densityaware/gen_00185.cif,Sr7Bi5,P1,1,triclinic,9,108.46905605242986,152.13331775692455,117.13051762355344,279.62784271921106,0.19365921193103952,0.2303645009365063,8.0720572792934,28.42703261645129,2.239016824528873,0.0016484946237299302,0.006670864360276429,6.302294809903713e-05,"[0.8145503997802734, 1.733060359954834, 1.620484471321106, 2.017704963684082, 1.781956434249878, 2.081519603729248, 2.033585548400879, 2.102818489074707]","[3.139397144317627, 0.5917576551437378, 0.5863838195800781, -0.2562204897403717, -0.49674808979034424, -0.7584314942359924, 3.142239570617676, 0.5844776034355164, -0.6272760629653931, -0.5163200497627258, -0.5686861276626587, 3.135417938232422, -0.3928496241569519, -0.48950493335723877, -0.6824758052825928, 1.172865629196167, -0.6312688589096069, -0.6246709823608398, 1.1737771034240723, -0.22571243345737457, 1.2039464712142944]"
2el,gen_00234,generated_cifs_2el_densityaware/gen_00234.cif,Sr3Bi,P1,1,triclinic,9,107.8552171095196,159.77623043651892,143.8451941411865,331.925632324883,0.15375989551340977,0.26949348920707905,6.933451861686709,28.251058568113972,2.261258391134062,0.018435259821224882,0.02458085609275078,0.023567606428369695,"[0.8880475163459778, 2.2987751960754395, 2.0848264694213867, 2.8488199710845947, 2.4596104621887207, 2.993798017501831, 2.941580295562744, 3.0025634765625]","[4.125796318054199, 0.4493260383605957, 0.1447288990020752, -0.2648037075996399, -0.4171294569969177, -0.5390489101409912, 4.128786563873291, 0.13934680819511414, -0.8443785905838013, -0.48016098141670227, -0.3952428102493286, 4.0613789558410645, -0.23835301399230957, -0.44011399149894714, -0.5968376994132996, 1.0938916206359863, -0.601296067237854, -0.4215938150882721, 1.0958510637283325, -0.24255473911762238, 1.8372550010681152]"
